Code,Description,Defined Category,Area,Type
31915,Thermal ablation - pancreatic tumor,Tumor Ablation,Body Procedures,Thermal ablation visceral organ tumor
31916,Thermal ablation - renal tumor,Tumor Ablation,Tumor Ablation,Thermal ablation visceral organ tumor
31917,Thermal ablation - peripheral extremity,Tumor Ablation,Body Procedures,Thermal ablation visceral organ tumor
31918,Thermal ablation chest tumor,Tumor Ablation,Tumor Ablation,Thermal ablation chest tumor
31919,Thermal ablation bone tumor,Tumor Ablation,Tumor Ablation,Thermal ablation bone tumor
31920,Thermal ablation soft tissue tumor,Tumor Ablation,MSK Procedures,Thermal ablation soft tissue tumor
31921,Thermal ablation vertebral tumor,Tumor Ablation,Tumor Ablation,Thermal ablation vertebral tumor
31922,Other tumor ablation,Tumor Ablation,Tumor Ablation,Other tumor ablation
31505,US Abd/Pel,US abd/pel,Diagnostic Radiology,US Abd/Pel
31775,Venous access central insert,US guided venous access,Venous Access General,Venous access placement - nontunneled
31776,Venous access peripheral insert (PICC),US guided venous access,Venous Access General,Venous access placement - nontunneled
31777,Swan Ganz catheter,US guided venous access,Venous Access General,Venous access placement - nontunneled
31778,Venous access other (midline catheter),US guided venous access,Venous Access General,Venous access placement - nontunneled
31779,Venous access tunneled placement,US guided venous access,Venous Access General,Venous access tunneled placement
31785,Venous access stripping,US guided venous access,Venous Access General,Venous access stripping
31651,Intravascular ultrasound arterial,US Hands On Scans,Diagnostic Arteriography,Intravascular ultrasound arterial
31706,Intravascular ultrasound venous,US Hands On Scans,Diagnostic Venography,Intravascular ultrasound venous
32920,US Hands On Scans 75 required (body),US Hands On Scans,Body Procedures,Ultrasound Imaging
32922,US Hands On Scans 75 required (breast),US Hands On Scans,Breast Procedures,Ultrasound Imaging
32928,US Hands On Scans 75 required (MSK),US Hands On Scans,MSK Procedures,Ultrasound Imaging
31696,Peripheral extremity - venography,Venogram,Diagnostic Venography,Peripheral extremity venography
31697,Venography - SVC,Venogram,Diagnostic Venography,Central venography
31698,Venography - IVC,Venogram,Diagnostic Venography,Central venography
31699,Venography - adrenal vein,Venogram,Diagnostic Venography,Visceral venography
31700,Venography - gonadal vein,Venogram,Diagnostic Venography,Visceral venography
31701,Venography - hepatic vein,Venogram,Diagnostic Venography,Visceral venography
31702,Venography - hepatic vein w/wedge pressures,Venogram,Diagnostic Venography,Visceral venography
31703,Venography - parathyroid vein,Venogram,Diagnostic Venography,Visceral venography
31704,Venography - renal vein,Venogram,Diagnostic Venography,Visceral venography
31705,Venography - centra/visceral other vein,Venogram,Diagnostic Venography,Visceral venography
31762,Diagnostic portal venogram,Venogram,Portal Interventions,Diagnostic portal venogram
31771,Portal vein thrombolysis catheter check,Venogram,Portal Interventions,Portal vein thrombolysis catheter check
31707,PTA lower extremity vein,Venous Intervention,Venous Interventions,Venous PTA
31708,PTA upper extremity vein,Venous Intervention,Venous Interventions,Venous PTA
31709,PTA venous central,Venous Intervention,Venous Interventions,Venous PTA
31710,PTA IVC,Venous Intervention,Venous Interventions,Venous PTA
31711,PTA SVC,Venous Intervention,Venous Interventions,Venous PTA
31712,PTA visceral/renal vein,Venous Intervention,Venous Interventions,Venous PTA
31713,Stent lower extremity vein,Venous Intervention,Venous Interventions,Venous stent
31714,Stent brachiocephalic/subclavian vein,Venous Intervention,Venous Interventions,Venous stent
31715,Stent SVC,Venous Intervention,Venous Interventions,Venous stent
31716,Stent IVC,Venous Intervention,Venous Interventions,Venous stent
31717,Stent visceral/renal vein,Venous Intervention,Venous Interventions,Venous stent
31740,IVC filter placement,Venous Intervention,Venous Interventions,IVC filter placement
31741,Venous foreign body retrieval,Venous Intervention,Venous Interventions,Venous foreign body retrieval
31742,IVC filter retrieval,Venous Intervention,Venous Interventions,Venous foreign body retrieval
31767,Portal vein PTA,Venous Intervention,Portal Interventions,Portal vein PTA
31768,Portal vein stent,Venous Intervention,Portal Interventions,Portal vein stent
31780,Venous port placement,Venous Port,Venous Access General,Venous port placement
31932,Vertebral augmentation - lumbar,Vertebral Augmentation,Musculoskeletal Interventions/Pain Management,Vertebral augmentation
31933,Vertebral augmentation - thoracic,Vertebral Augmentation,MSK Procedures,Vertebral augmentation
31934,Vertebral augmentation - cervical,Vertebral Augmentation,Musculoskeletal Interventions/Pain Management,Vertebral augmentation
31935,Sacral augmentation,Vertebral Augmentation,MSK Procedures,Vertebral augmentation
